Overall,Bib,Name,Time,Year
1,1,Scott Wietecha,02:25:42,2016
2,3,Brian Shelton,02:34:43,2016
3,1047,Christopher Capps,02:38:43,2016
4,1052,Jason Grimes,02:45:06,2016
5,1046,David Adams,02:47:28,2016
6,1049,Matthew Meinema,02:47:36,2016
7,1044,Seth Carley,02:48:22,2016
8,1092,Ben Becker,02:52:19,2016
9,1057,Jonathan Mason,02:53:38,2016
10,1058,Matt Treat,02:53:48,2016
11,1067,Kevin Selinsky,02:55:49,2016
12,1069,Cole Bataille,02:56:56,2016
13,1087,Joseph Shields,02:58:53,2016
14,1108,Melanie Kulesz,02:59:09,2016
15,2014,Kieran Frost,02:59:30,2016
16,1155,Brian Wiest,02:59:51,2016
17,1048,Braden Robbins,03:00:26,2016
18,1080,Bo Brewer,03:01:09,2016
19,27408,Bryan Larison,03:01:23,2016
20,101,Megan Hovis,03:04:49,2016
21,2003,Ryan Ladd,03:05:51,2016
22,1081,Mark Temme,03:06:21,2016
23,1137,Alexandre Jamar,03:06:22,2016
24,1142,Shandra Moore,03:08:32,2016
25,1085,Thomas Von Der Ohe,03:08:39,2016
26,1068,Christopher Chidley,03:08:53,2016
27,1060,Andrew Blain,03:09:20,2016
28,1062,Daniel Roberts,03:10:05,2016
29,4077,Kelli Proctor,03:10:08,2016
30,2134,Paul Linck,03:10:37,2016
31,4054,Marykate Kausel,03:10:54,2016
32,2106,Jessica Hoefert,03:11:34,2016
33,2008,Sean Kinne,03:12:15,2016
34,1141,Lynn Baione,03:13:13,2016
35,1149,Jodi Theriault,03:13:15,2016
36,1070,Edgar Garza,03:13:18,2016
37,3026,Jonathan Hill,03:13:42,2016
38,1130,Bear Robinson,03:13:45,2016
39,5052,Taylor Blaylock,03:13:46,2016
40,1176,Jillian Brady,03:14:14,2016
41,2001,Riki Allen,03:14:23,2016
42,2035,Jonny Bentley,03:14:24,2016
43,3135,Paul Dinius,03:14:36,2016
44,3018,Jared Berry,03:15:00,2016
45,2090,Matthew Van Thuyne,03:15:12,2016
46,3131,Travis Allard,03:16:02,2016
47,2047,Chris James,03:16:29,2016
48,1045,Brian Shonat,03:16:50,2016
49,11164,Andy Wind,03:16:52,2016
50,2013,Ira Aghai,03:17:01,2016
51,2018,Louis Guido,03:17:18,2016
52,3027,Giorgio Barossi,03:17:21,2016
53,1066,Austin Zimmet,03:17:40,2016
54,1134,James Nabholz,03:17:41,2016
55,3146,Jacqueline Gottuso,03:18:15,2016
56,18048,Jackson Stacy,03:18:19,2016
57,1151,Steven Murphy,03:18:41,2016
58,1156,Jenna Rau,03:18:49,2016
59,1173,Mina Ebrahem,03:19:29,2016
60,1163,Craig Nunn,03:19:56,2016
61,2058,Jake Coffey,03:20:03,2016
62,1158,Jeff Chambrello,03:20:23,2016
63,3024,Michael Dereix,03:20:39,2016
64,3007,Robert Wesley,03:20:45,2016
65,2102,Janelle Harling,03:21:08,2016
66,3149,William Hamrick,03:21:08,2016
67,2145,Gerald Morgan,03:21:54,2016
68,4085,Tien Le,03:22:08,2016
69,3004,Alex King,03:22:21,2016
70,2122,Meredith Smith,03:22:27,2016
71,1114,Robby Callahan,03:22:38,2016
72,2045,Patrick Olmstead,03:22:47,2016
73,2082,Hannah Cutshall,03:22:47,2016
74,2023,Eric Cahoon,03:23:02,2016
75,1091,Nicholas Petsch,03:23:07,2016
76,1131,Ben Carmichael,03:23:12,2016
77,2044,Tatsuki Koyama,03:23:23,2016
78,2061,Kyle Roberts,03:23:38,2016
79,2120,Todd Walter,03:24:01,2016
80,11125,Jeff Matlock,03:24:02,2016
81,1177,Cristina Kapp,03:24:12,2016
82,3094,Andrew Wisniewski,03:24:20,2016
83,2034,Evan Adams,03:24:31,2016
84,2056,James Bonomo,03:24:48,2016
85,1140,Andrew Spector,03:25:21,2016
86,3019,Brian Wright,03:25:25,2016
87,5011,Jonathan Graham,03:25:27,2016
88,7085,Ben Cohara,03:25:29,2016
89,1054,Ryan Hopkins,03:25:29,2016
90,2060,Corey Doiron,03:25:44,2016
91,2005,Edwin Reyes,03:25:57,2016
92,2017,Kevin Burton,03:25:59,2016
93,3008,Rick Bonen-Clark,03:25:59,2016
94,2024,Jesse Seales,03:26:13,2016
95,6035,Mari Walsh,03:26:18,2016
96,2118,Roland Bisio,03:26:25,2016
97,3142,Sue Anne Perry,03:26:29,2016
98,2119,Todd Kuglin,03:26:35,2016
99,10026,Rachel Polk,03:26:39,2016
100,3141,Alan Jolly,03:26:46,2016
101,1104,Leanna Guinn,03:26:46,2016
102,2038,Timothy Hellhake,03:26:50,2016
103,1172,Rebecca Murray,03:26:53,2016
104,5035,Kyle Miller,03:27:15,2016
105,5044,Andrew Dibb,03:27:19,2016
106,2099,Jason Sparks,03:27:25,2016
107,1183,Kelsey Williams,03:27:38,2016
108,5028,Nicole Thinnes,03:27:42,2016
109,2036,Aaron Wise,03:27:42,2016
110,3001,Marijke Devos,03:27:43,2016
111,3002,Kees Devos,03:27:43,2016
112,2004,Jeffrey Pasqual,03:27:44,2016
113,6040,Zane Frick,03:27:44,2016
114,2067,Stacey Strike,03:28:01,2016
115,3083,Sam Sadoulet,03:28:05,2016
116,1088,Jake Smith,03:28:14,2016
117,2016,David Kieu,03:28:22,2016
118,5112,Stephen Peterson,03:28:24,2016
119,2114,James Pippard,03:28:35,2016
120,2021,Robert Klenk,03:28:49,2016
121,7198,Drew Long,03:28:55,2016
122,2103,Matt Miller,03:28:55,2016
123,3116,Jenna Lee,03:28:57,2016
124,2026,Abigail Thibeault,03:29:06,2016
125,4105,William Baucom,03:29:06,2016
126,4044,Beau Baggett,03:29:09,2016
127,3042,Von Shenefelt,03:29:17,2016
128,3129,Vance Poss,03:29:31,2016
129,2117,Brady Campbell,03:29:36,2016
130,24040,Sam Atwood,03:29:38,2016
131,2010,Mike Orsega,03:29:51,2016
132,9059,Amy Parker,03:30:06,2016
133,3138,Benjamin Ramos,03:30:10,2016
134,3079,Ross Nicol,03:30:21,2016
135,3016,Mckenna Langrehr,03:30:31,2016
136,2055,Greg Gillum,03:30:38,2016
137,3102,Patrick Flynn,03:30:42,2016
138,2096,Brian Schlake,03:30:45,2016
139,1124,Mark Smith,03:30:49,2016
140,3068,Alec Ogg,03:30:59,2016
141,3140,Mahlon Hellman,03:31:09,2016
142,2126,John Baer,03:31:14,2016
143,4046,Charlie Nix,03:31:40,2016
144,2111,Danny Laughlin,03:31:43,2016
145,2124,Lauren Terrell,03:31:51,2016
146,2051,Scott Hamby,03:32:05,2016
147,1153,Ryan Dorr,03:32:06,2016
148,5091,Hannah Hoots,03:32:15,2016
149,6002,Jeromy Risner,03:32:16,2016
150,6017,Andrew Hackman,03:32:18,2016
151,5054,Lauren Young,03:32:22,2016
152,2077,Jessica Payne,03:32:24,2016
153,7319,Matt Smith,03:32:27,2016
154,27330,Manuel Medina,03:32:50,2016
155,5060,Jennifer Anderson,03:33:09,2016
156,7001,Samuel Hall,03:33:12,2016
157,4013,Eric Hastings,03:33:23,2016
158,5098,Kristin Greenwood,03:33:41,2016
159,5079,Jarrod Lummis,03:33:43,2016
160,14072,Laura Spinelli,03:33:48,2016
161,12092,Adam Klenk,03:33:50,2016
162,2105,Natalie Myers,03:33:57,2016
163,2039,Joseph Burdyck Jr,03:33:57,2016
164,2113,Melissa Salamon,03:33:59,2016
165,2019,Matt Dudley,03:34:19,2016
166,4058,Paul Donahue,03:34:20,2016
167,2007,Scott Hulsey,03:34:24,2016
168,4061,Jeffrey Baskin,03:34:27,2016
169,3061,Brad Stancampiano,03:34:35,2016
170,1122,David Mead,03:34:35,2016
171,7253,Paul Green,03:34:47,2016
172,5093,Christina Depriest,03:34:59,2016
173,4100,Carl Adams,03:35:27,2016
174,2088,Jonathan Dutton,03:35:55,2016
175,1028,Juliet Shuck,03:36:00,2016
176,5036,Lana Hojeij,03:36:05,2016
177,1094,Zach Mccluskey,03:36:17,2016
178,4096,Parker Albert,03:36:19,2016
179,405,Dan Albert,03:36:19,2016
180,2081,Robert Willis,03:36:22,2016
181,4091,Daniel Zarazua,03:36:28,2016
182,26143,Michael Mason,03:36:33,2016
183,4095,Edward Sherwood,03:36:34,2016
184,1101,Ryan Schroer,03:36:39,2016
185,5018,Rafael D. Betancourt-García,03:36:57,2016
186,7143,Paul Bradbury,03:37:03,2016
187,3078,Mackie Reilly,03:37:27,2016
188,3120,Thomas Woo,03:37:32,2016
189,10010,Vanessa Snyder,03:37:47,2016
190,1147,Dwayne Novak,03:37:47,2016
191,3040,Rose Nicastro,03:37:50,2016
192,6024,Thomas Nelson,03:37:53,2016
193,12045,Peter Hjorth,03:38:21,2016
194,23014,Brady Riekeman,03:38:23,2016
195,2130,Thomas Laws,03:38:32,2016
196,3089,Steve Niemerg,03:38:32,2016
197,4028,Gregory Nugent,03:38:35,2016
198,1164,Kevin Laury,03:38:38,2016
199,3051,Brian Wilson,03:38:52,2016
200,4041,Derek Burda,03:38:56,2016
201,9058,Katy Terrell,03:38:56,2016
202,7308,Gwen Jacobson,03:38:57,2016
203,5096,Chad Adams,03:39:08,2016
204,19153,Grayson Sutherland,03:39:20,2016
205,7144,Eric Hornick,03:39:23,2016
206,3137,Jamee Confer,03:39:26,2016
207,1099,Robert Moser,03:39:30,2016
208,15019,Kelsey Fox,03:39:35,2016
209,5020,Andrea Van Bree,03:39:44,2016
210,3036,Blair Cofield,03:39:45,2016
211,3014,Kyle Deluna,03:39:48,2016
212,4068,Erica Knips,03:39:49,2016
213,3152,James Gardner,03:39:51,2016
214,1175,Logan Stephens,03:39:54,2016
215,28142,Chevillard Thibault,03:40:19,2016
216,3053,Thomas Waldrop,03:40:20,2016
217,13052,Chase Haeuptle,03:40:26,2016
218,17272,Matthew Metz,03:40:33,2016
219,7087,Douglas Carwile,03:40:34,2016
220,3032,Katherine Gamble,03:40:37,2016
221,1189,Rogelio Balderas,03:40:47,2016
222,21120,Michael Letterman,03:40:50,2016
223,2029,Jordan Norton,03:40:53,2016
224,1071,Tyler Martin,03:41:02,2016
225,3043,Kara Bartels,03:41:09,2016
226,3041,Nate Hewes,03:41:09,2016
227,4081,Jonathan Lister,03:41:11,2016
228,6036,Frank Verducci,03:41:15,2016
229,2066,Ryan Davis,03:41:26,2016
230,15047,Josh Berka,03:41:27,2016
231,5113,Breah Mortenson,03:41:30,2016
232,3124,Caroline Brooks,03:41:37,2016
233,8012,Mark Brooks,03:41:44,2016
234,10004,Bryan Smith,03:41:45,2016
235,15046,Ben Hartwell,03:41:53,2016
236,3119,Dave Sorrell,03:42:10,2016
237,4111,Brian Pizzitola,03:42:17,2016
238,2030,Jay Bassett,03:42:18,2016
239,4076,Edward Mcdaniel,03:42:23,2016
240,7117,Michael Bird,03:42:23,2016
241,3098,Ali Cummings,03:42:26,2016
242,7304,Ruben Medina,03:42:52,2016
243,11131,Catie Caldwell,03:42:53,2016
244,2085,Greg Eubanks,03:42:53,2016
245,3088,Jason Egger,03:43:06,2016
246,7325,Christopher Carey,03:43:11,2016
247,12056,Jordan Johnson,03:43:16,2016
248,5040,Ranson Streng,03:43:16,2016
249,20090,Kinsey Sessions,03:43:17,2016
250,2121,Hailey Krzyston,03:43:18,2016
251,3147,Andrew Sims,03:43:22,2016
252,4087,Mary Mcginty,03:43:23,2016
