Overall,Bib,Name,Time,Year
253,5014,Kathleen Schaefer,03:43:28,2016
254,26279,Franklin Williams,03:43:41,2016
255,3017,Tommy Brown,03:43:54,2016
256,3011,Jennifer Brigati,03:43:58,2016
257,2075,Wayne Easterwood,03:43:58,2016
258,7331,Andrew Cox,03:43:58,2016
259,5101,Sarah Doran,03:44:02,2016
260,4101,Kathleen Fisher,03:44:05,2016
261,8104,Chris Swistek,03:44:08,2016
262,7032,Meredith Hensley,03:44:13,2016
263,2057,Derek Duessing,03:44:15,2016
264,4067,Nicole Becker,03:44:18,2016
265,5008,Erik Stephan,03:44:19,2016
266,3035,Daniel Austin,03:44:19,2016
267,2043,Shelby Hartmann,03:44:22,2016
268,8098,Julian Perep,03:44:22,2016
269,5088,Bridget Mchugh,03:44:25,2016
270,21071,Karen John,03:44:28,2016
271,5067,Anoma Moore,03:44:29,2016
272,2110,Greg Newkirk,03:44:38,2016
273,8103,Karen Mcneany,03:44:43,2016
274,7086,Micah Buss,03:44:53,2016
275,17409,Nicole Bengtson,03:44:56,2016
276,7034,Adrian Riddell,03:44:58,2016
277,3125,Tim Smith,03:45:01,2016
278,3139,Kevin Baker,03:45:12,2016
279,8040,Matthew Kuure-Kinsey,03:45:18,2016
280,5086,Sidney Haitoff,03:45:18,2016
281,10129,Sarah Hailey,03:45:19,2016
282,4039,William Moore,03:45:20,2016
283,7073,Kate Wilhelmi,03:45:23,2016
284,15071,Liz Stepanian,03:45:30,2016
285,2115,Brian Faulks,03:45:37,2016
286,7306,Peyton Mastera,03:45:45,2016
287,4055,Debra Wray,03:45:47,2016
288,4012,Juan Morales,03:45:48,2016
289,14053,Matt Heacock,03:46:01,2016
290,7222,Anthony Glandorf,03:46:02,2016
291,5099,Michael Czarnik,03:46:02,2016
292,7302,Charles Sisk,03:46:05,2016
293,4051,Andrew Kubish,03:46:08,2016
294,6020,Elena Raffay,03:46:08,2016
295,3009,Paul Oldakowski,03:46:14,2016
296,7054,Shanna Obluck,03:46:18,2016
297,7238,Simon Cartoon,03:46:25,2016
298,4114,Russell Edwards,03:46:32,2016
299,3144,Gilbert Varela,03:46:35,2016
300,3143,Jody Smith,03:46:38,2016
301,7223,William Sawyer,03:46:56,2016
302,7069,Kelly Vander Esch,03:47:02,2016
303,8048,Krystin Ryan,03:47:31,2016
304,14076,Annie Cheslin,03:47:32,2016
305,7246,Kelly Brown,03:47:33,2016
306,6046,Julie Meier,03:47:33,2016
307,5048,Scott Charles,03:47:41,2016
308,15042,Grace Eberle,03:47:56,2016
309,6025,Nikki Roetman,03:47:57,2016
310,404,Tommy Kell,03:47:59,2016
311,27382,Sandra Wisnoski,03:48:04,2016
312,7112,Chelsea Pishnery,03:48:06,2016
313,1138,Bridgette Beeny,03:48:07,2016
314,5107,Jeff Peelen,03:48:07,2016
315,16004,Steve Ryan,03:48:11,2016
316,4047,Myles O'Hara,03:48:14,2016
317,2000,Andrew Jeffery,03:48:21,2016
318,7328,Bernie Taylor,03:48:44,2016
319,5073,Kyle Guthrie,03:48:46,2016
320,5025,Samuel Kurtz,03:48:50,2016
321,16035,Patrick Columbia,03:48:50,2016
322,7076,Stacy Katz,03:48:51,2016
323,7221,Dawn Evans,03:48:56,2016
324,5003,Amy Lowe,03:49:02,2016
325,3031,David Gibson,03:49:07,2016
326,16033,Casey Zambor,03:49:10,2016
327,2065,David Nelson,03:49:14,2016
328,4097,Yuya Hajikano,03:49:21,2016
329,4080,Beth Pierpont,03:49:26,2016
330,4104,Sarah Clark,03:49:27,2016
331,7256,Alicia Stott,03:49:28,2016
332,7322,Philip Lawson,03:49:30,2016
333,2027,Brendan Banyon,03:49:31,2016
334,11108,Caroline Cobb,03:49:31,2016
335,5026,Scott Letts,03:49:40,2016
336,6014,Sarah Miller,03:49:40,2016
337,7053,Kevin Connor,03:49:40,2016
338,8013,Kelly Long,03:49:43,2016
339,7255,Katie Wick,03:49:44,2016
340,4002,Daniela Nichols,03:49:53,2016
341,5071,Shawn Loy,03:50:08,2016
342,7084,Megan Goss,03:50:09,2016
343,6048,Chad Warpinski,03:50:10,2016
344,7254,Lauren Mandell,03:50:10,2016
345,3055,Martin Wileman,03:50:11,2016
346,2080,Alex Fox,03:50:15,2016
347,6008,Kristine Smith,03:50:18,2016
348,5066,Christine Casiello,03:50:19,2016
349,7257,Sara Schulz,03:50:21,2016
350,9117,Stephen Crane,03:50:27,2016
351,2125,Jeffrey Bliss,03:50:29,2016
352,4078,Stephen Holder,03:50:32,2016
353,7321,Patrick Staha,03:50:43,2016
354,5058,Anthony Kamps,03:50:43,2016
355,5043,Douglas Dibb,03:50:45,2016
356,13024,Robert Blaszak,03:50:53,2016
357,7051,Kelly Henris,03:50:54,2016
358,9015,Kent Garner,03:50:55,2016
359,4062,Kendall Seawright,03:51:02,2016
360,3050,Jeremiah Mulcahy,03:51:02,2016
361,9073,Kate O'Leary,03:51:04,2016
362,7116,John Carpenter,03:51:05,2016
363,15043,Cody Mcdermott,03:51:06,2016
364,3006,Steve Ruffin,03:51:15,2016
365,14069,Christina Boyles,03:51:21,2016
366,2050,Shawn Barton,03:51:27,2016
367,7273,Paul Bergman,03:51:39,2016
368,7207,Melissa Boothe,03:51:40,2016
369,4009,Humberto Ruiz,03:51:48,2016
370,4059,Phillip Bracikowski,03:51:50,2016
371,26314,Jeff Shore,03:51:52,2016
372,21066,Sylvia Buchanan,03:52:01,2016
373,5064,Danielle Hummel,03:52:02,2016
374,8113,Hebah Hefzy,03:52:05,2016
375,10112,Steve Harber,03:52:08,2016
376,13013,Ashley Papa,03:52:08,2016
377,10037,Sloan Scott,03:52:25,2016
378,4112,David Mullins,03:52:32,2016
379,2009,Jose Estrada,03:52:45,2016
380,11080,Eric Newton,03:52:54,2016
381,7298,Evan Davies,03:53:00,2016
382,7046,Armen Merjanian,03:53:06,2016
383,18059,Alexis Schorner,03:53:07,2016
384,7103,Chris Bain,03:53:09,2016
385,7300,Roy Tamez,03:53:09,2016
386,7305,Ben Sullivan,03:53:10,2016
387,3134,David Kessler,03:53:11,2016
388,16016,Linette Pirschel,03:53:32,2016
389,26208,Erin Moe,03:53:36,2016
390,3077,David Alderman,03:53:39,2016
391,11127,Jonathan Brown,03:53:40,2016
392,5104,Hubie Krawczyk,03:53:48,2016
393,5076,Jodie Snow,03:54:05,2016
394,13033,Erin Butler,03:54:08,2016
395,7129,William Jones,03:54:10,2016
396,5007,Rhett Dickinson,03:54:12,2016
397,1148,Dave Donovan,03:54:12,2016
398,4004,Vincent Hall,03:54:12,2016
399,4003,Ryan Egan,03:54:12,2016
400,9044,Taylor Medernach,03:54:13,2016
401,6053,David Hern,03:54:17,2016
402,12086,Aine Corridon,03:54:18,2016
403,11013,Brian Risse,03:54:25,2016
404,13012,Andrew Peddy,03:54:32,2016
405,6049,Jessica Shivas,03:54:32,2016
406,5085,Jaclyn Kirna,03:54:34,2016
407,5105,Andrew Bentley,03:54:38,2016
408,19028,Jonathan Neri,03:54:39,2016
409,7296,Jan Erik Goransson,03:54:47,2016
410,7066,Kiel Scheiwe,03:54:47,2016
411,15087,Whitney Reparuk,03:54:48,2016
412,7199,Lisa Bienia Kenton,03:54:52,2016
413,3054,Dale Wiest,03:54:52,2016
414,8100,Carley Ellis,03:54:57,2016
415,11112,Christa Fehr,03:54:58,2016
416,3096,Robert Kennerson,03:55:01,2016
417,7011,Amanda Ryan,03:55:08,2016
418,8077,Pamela Vesely,03:55:08,2016
419,8030,Emily Berty,03:55:12,2016
420,13056,Todd Clippard,03:55:15,2016
421,12031,Matt Warren,03:55:19,2016
422,26373,Molly Shaner,03:55:21,2016
423,8054,Jared Mcclain,03:55:32,2016
424,3003,Gregory Thomas,03:55:32,2016
425,3044,Patrick Thomas,03:55:32,2016
426,8130,Brian Giese,03:55:33,2016
427,8129,Angela Giese,03:55:33,2016
428,11113,Carmel Anderson,03:55:36,2016
429,2104,Madeline Alexander,03:55:37,2016
430,7079,Erica Gorski,03:55:37,2016
431,11136,Jose Ruiz,03:55:37,2016
432,7058,Adam Stehura,03:55:42,2016
433,21021,Grant Glassford,03:55:43,2016
434,5070,Sunny Jiang,03:55:47,2016
435,5109,Morgan Davis,03:55:50,2016
436,3099,Kayla Snyder,03:55:54,2016
437,7310,Kyle Popiolek,03:55:59,2016
438,18041,Sara Hostetler,03:56:00,2016
439,3111,Melissa Dowd,03:56:01,2016
440,3115,Megan Kaiser,03:56:01,2016
441,8125,Ken Benz,03:56:08,2016
442,11084,Jason Rowell,03:56:09,2016
443,7184,Natalie Ireland,03:56:10,2016
444,7314,Amberly Weber,03:56:17,2016
445,5110,Scott Hiller,03:56:22,2016
446,8108,Devin Sutter,03:56:26,2016
447,7093,Janelle Kelley,03:56:29,2016
448,7090,Julia Sullivan,03:56:31,2016
449,5022,Kristal Robbins,03:56:34,2016
450,9061,Laura Sevilla,03:56:36,2016
451,7043,Holly White,03:56:37,2016
452,10136,Jeff Barton,03:56:37,2016
453,9026,Mark Annunziato,03:56:41,2016
454,7146,Shelby Anderson,03:56:43,2016
455,9148,Timothy O'Leary,03:56:44,2016
456,4026,Leeann Winters,03:56:45,2016
457,7324,Aaron Garrett,03:56:48,2016
458,5047,Simon Alexander,03:56:50,2016
459,9094,Samuel Howard,03:56:53,2016
460,16025,Emily Konopka,03:56:57,2016
461,27401,Luis Sura,03:57:00,2016
462,4037,Jake Lawson,03:57:06,2016
464,3133,Lawrence Freund,03:57:12,2016
465,3012,Daniel Bade,03:57:14,2016
466,4011,Nick Shelburne,03:57:14,2016
467,9119,Matthew Colner,03:57:19,2016
468,13058,Casey Salzer,03:57:20,2016
469,12085,Daniel Worley,03:57:21,2016
470,10138,Joe Ollila,03:57:22,2016
471,7195,Pablo Martinez,03:57:25,2016
472,17271,Masahiro Tsubaki,03:57:29,2016
473,7081,Jennifer Terry,03:57:30,2016
474,2112,Karen Faulhaber,03:57:33,2016
475,15048,Heather Summy,03:57:37,2016
476,10097,Alan Pettit,03:57:40,2016
477,4102,Patrick Kelly,03:57:41,2016
478,26221,Brittany Zeller,03:57:43,2016
479,6043,Thomas Rice,03:57:45,2016
480,7042,Joseph Lombardo,03:57:45,2016
481,7141,Francesca Muccini,03:57:46,2016
482,5111,Krista Wells,03:57:49,2016
483,9038,Rick Gloo,03:57:57,2016
484,3154,Brooke Groff,03:57:59,2016
485,22121,Stephanie Ramirez,03:58:05,2016
486,7123,Kate Kelly,03:58:09,2016
487,5001,Trish Kozlak,03:58:18,2016
488,17189,Tom Irmeger,03:58:18,2016
489,8102,Charlie Wilder,03:58:19,2016
490,7208,Adam Oglesby,03:58:33,2016
491,5078,Jill Stnsell,03:58:33,2016
492,16092,Danielle D'Amato,03:58:37,2016
493,7172,Amber Bledsoe,03:58:37,2016
494,7110,Ken Moore,03:58:42,2016
495,3075,Andrew Venrick,03:58:47,2016
496,14064,Anita Wiest,03:58:48,2016
497,7285,Ann Kristofeck,03:58:50,2016
498,9002,Ashley Mcgowin,03:58:50,2016
499,7102,Adrienne Thacker,03:58:51,2016
500,6023,Cassie Brady,03:58:51,2016
501,4015,Jamie Schuer,03:58:51,2016
502,7225,Padraig Mullins,03:58:51,2016
503,7224,Wendy Andre,03:58:52,2016
504,9114,Doug Klassen,03:58:53,2016
505,4056,Jorge Jimenez,03:58:58,2016
506,7194,Ronald Hillerman,03:59:01,2016
507,3056,Daniel Hudgins,03:59:03,2016
508,9037,Krista Harwick,03:59:07,2016
509,9150,Kara Molitor,03:59:14,2016
510,4066,Chris Kletzien,03:59:16,2016
511,7291,Ivano Angelo Vanoglio,03:59:19,2016
512,3038,Erin Flanagan,03:59:27,2016
513,12018,Lara Breece,03:59:28,2016
514,13017,Alicia Darnell,03:59:28,2016
515,8127,Powell Paguibitan,03:59:33,2016
516,3126,Valerie Patenotte,03:59:34,2016
517,7297,Katie Stenberg,03:59:45,2016
518,7165,Jason Dumser,03:59:45,2016
519,11103,Nicole Klein,03:59:46,2016
520,25200,Kathleen Karimi,03:59:51,2016
521,8044,Lisa Kirkham,03:59:59,2016
522,10001,Jesse Dick,04:00:04,2016
523,14003,Seth Huiras,04:00:04,2016
524,9013,Emily Hockman,04:00:06,2016
525,8045,James Eberly,04:00:06,2016
526,3057,Andrew Ramos,04:00:09,2016
527,8057,Amy Bortnick,04:00:12,2016
528,25101,Matt Taylor,04:00:17,2016
530,7211,Oscar Gutierrez,04:00:23,2016
531,8101,Jeffrey Shed,04:00:25,2016
532,7330,Paul Hayslip,04:00:26,2016
533,7059,Rachel Blain,04:00:27,2016
534,8085,Brent Peterson,04:00:28,2016
535,6016,Troy Larkin,04:00:33,2016
536,7237,Jonathan Douglass,04:00:39,2016
537,1098,Thomas Hartmann,04:00:42,2016
538,3128,Augustine Chavez,04:00:43,2016
539,6010,Armando Chavez,04:00:44,2016
540,13048,Faye Zheng,04:00:49,2016
541,8003,David Gailey,04:00:57,2016
542,27386,Olivia Carrick,04:01:01,2016
543,15062,Justin Wilcox,04:01:06,2016
544,4107,Katherine Daly,04:01:10,2016
545,1123,Kelsey Otten,04:01:12,2016
546,3087,Jen Burn,04:01:14,2016
547,7288,Jack Brehm,04:01:17,2016
548,3086,Charles Licata Jr,04:01:17,2016
549,2078,Jennifer Kopanic,04:01:25,2016
550,12068,Stacey Depriest,04:01:37,2016
551,7049,Michael Massingham,04:01:38,2016
552,23086,Andrea Burchett,04:01:39,2016
553,8059,Amanda Darr,04:01:42,2016
554,9040,James Peters,04:01:46,2016
555,13068,Jeanne Bruksch,04:02:05,2016
556,7269,Chris Coughlan,04:02:05,2016
557,9143,Takuya Ito,04:02:12,2016
558,4108,Turner Almond,04:02:13,2016
559,15064,Jeffrey Morris,04:02:13,2016
560,16038,William Glenn,04:02:14,2016
561,21199,Sungseek Kim,04:02:16,2016
562,17019,Casey Allee,04:02:22,2016
563,17259,Ashley Carney,04:02:24,2016
564,6007,Timothy Nicholson,04:02:26,2016
565,13014,Artem Sharkin,04:02:32,2016
566,15036,Lisa Vaughn,04:02:38,2016
567,6001,Scott Kominkiewicz,04:02:38,2016
568,7152,Samantha Upton,04:02:40,2016
569,11101,Patrick Nowak,04:02:41,2016
570,4050,Martin Harris,04:02:43,2016
571,9031,Kristan Mcintosh,04:02:56,2016
572,7109,Mary Untener,04:02:57,2016
573,7327,Shannon Griffin,04:03:00,2016
574,10133,Jacob Piscal,04:03:06,2016
575,7004,Jeremy Sprecher,04:03:08,2016
576,12036,Joanie Gavin,04:03:12,2016
577,8117,Jameson Rusch,04:03:12,2016
578,8076,Ryan Jacox,04:03:19,2016
579,16018,Ziggy Sigler,04:03:24,2016
580,10130,Carter Josephs,04:03:37,2016
581,3052,Jonathan Lacoste,04:03:37,2016
582,13049,David Boddie,04:03:42,2016
583,25023,Pauleric Rice,04:03:42,2016
584,2142,Alfred Tello,04:03:44,2016
585,3101,Larissa Graham,04:03:59,2016
586,13006,Jennifer Daily,04:04:07,2016
587,15057,Jason Johnson,04:04:10,2016
588,3117,Matt Nolan,04:04:13,2016
589,8066,Fred Jackson,04:04:23,2016
590,8025,Emily Becker,04:04:24,2016
591,15000,Derek Boone,04:04:29,2016
592,17266,Melanie Gouthro,04:04:29,2016
593,3062,Lindsey Mica,04:04:31,2016
594,23069,Brett Hileman,04:04:32,2016
595,7072,Casey Hill,04:04:33,2016
596,20102,Brittany Knox,04:04:35,2016
597,23042,Nick Patterson,04:04:42,2016
598,2097,Martin Damrell,04:04:43,2016
599,4093,Austin Kaelin,04:04:43,2016
600,3118,Sam Wilson,04:04:46,2016
601,16087,Heather Carr,04:04:51,2016
602,21074,Brittney Crenshaw,04:04:51,2016
603,10131,Tyler Stridde,04:04:58,2016
604,8134,Garrett Bowdle,04:04:59,2016
605,7311,Jeffrey Johnson,04:05:01,2016
606,7313,Bradley Berndt,04:05:15,2016
607,7019,Jim Manley,04:05:18,2016
608,17185,Gillian Fruth,04:05:19,2016
609,21064,Timothy Prechter,04:05:34,2016
610,4014,Chris Schuer,04:05:41,2016
611,27429,Pedro Ultreras,04:05:45,2016
612,8010,Mike Thompson,04:05:46,2016
613,15070,Miriam Onivogui,04:05:47,2016
614,15069,Jody Alderman,04:05:47,2016
615,11001,Fernando Marquez,04:05:48,2016
616,17260,Michael Hunter,04:05:51,2016
617,7082,Mark Wagner,04:05:53,2016
618,17089,Jack Dyer,04:05:55,2016
619,27160,Megan Chambers,04:05:59,2016
620,14010,Naomi Ryan,04:06:02,2016
621,14020,David Stout,04:06:03,2016
